 twitter_handle,Source,Type,Domain,Rating,Score,Country,Language,target_user_id,followers
justworldtweets,https://twitter.com/justworldtweets?s=21,TWITTER,just-international.org,N,30.0,US,en,537959685,282.0
kellybroganmd,https://twitter.com/KellyBroganMD,TWITTER,kellybroganmd.com,N,12.5,US,en,1279354572,19399.0
TheKeystone,https://twitter.com/thekeystone,TWITTER,keystonenewsroom.com,N,57.0,US,en,1214911363971190784,4955.0
stkirsch,https://twitter.com/stkirsch,TWITTER,kirschsubstack.com,N,37.5,US,en,37491797,463248.0
KUSINews,https://twitter.com/KUSINews,TWITTER,kusi.com,N,44.5,US,en,25596174,103273.0
LancasterCouri1,https://www.twitter.com/lancastercouri1,TWITTER,lancastercourier.com,N,52.5,US,en,1199400063086272513,25.0
IngrahamAngle,https://twitter.com/IngrahamAngle,TWITTER,lauraingraham.com,N,39.5,US,en,50769180,4716094.0
Leafly,https://twitter.com/Leafly,TWITTER,leafly.com,N,55.0,US,en,147821538,192795.0
lewrockwell,https://twitter.com/lewrockwell,TWITTER,lewrockwell.com,N,12.5,US,en,20837035,75645.0
LifeNewsHQ,https://twitter.com/LifeNewsHQ,TWITTER,lifenews.com,N,17.5,US,en,50434933,324170.0
LifeSite,https://twitter.com/LifeSite,TWITTER,lifesitenews.com,N,17.5,US,en,18927538,65221.0
LifeZette,https://twitter.com/LifeZette,TWITTER,lifezette.com,N,37.0,US,en,3016071993,25759.0
LiveAction,https://twitter.com/liveaction,TWITTER,liveaction.org,N,30.0,US,en,18001922,179220.0
livelovefruit,https://twitter.com/livelovefruit,TWITTER,livelovefruit.com,N,59.5,US,en,789598902,1980.0
Liz_Wheeler,https://twitter.com/Liz_Wheeler,TWITTER,lizwheeler.com,N,29.5,US,en,264361128,949627.0
LosAngelesBlade,https://twitter.com/LosAngelesBlade,TWITTER,losangelesblade.com,N,49.5,US,en,839188766208245761,1926.0
LWCnewswire,https://twitter.com/LWCnewswire,TWITTER,louderwithcrowder.com,N,32.0,US,en,1067792857111642113,58489.0
MadWorldNews,https://twitter.com/MadWorldNews,TWITTER,madworldnews.com,N,37.5,US,en,1957674949,102151.0
MagaVoter,https://twitter.com/MAGAVoter,TWITTER,magavoter.com,N,47.0,US,en,1192856031069528064,6.0
maineexaminer,https://twitter.com/maineexaminer,TWITTER,maineexaminer.com,N,47.0,US,en,908716191614738432,45.0
MillionsAgainst,https://twitter.com/MillionsAgainst,TWITTER,mamm.org,N,30.0,US,en,1321227185852719104,1081.0
medicaldaily,https://twitter.com/medicaldaily,TWITTER,medicaldaily.com,N,44.5,US,en,152747558,18041.0
MediterraneoDGT,https://twitter.com/MediterraneoDGT,TWITTER,mediterraneodigital.com,N,57.0,US,en,200568348,89794.0
mercola,https://twitter.com/mercola,TWITTER,mercola.com,N,25.0,US,en,12524522,415045.0
MiMighty,https://twitter.com/MiMighty,TWITTER,mightymichigan.com,N,39.5,US,en,1181334463550283777,118.0
GovMikeHuckabee,https://www.twitter.com/GovMikeHuckabee,TWITTER,mikehuckabee.com,N,44.5,US,en,15416505,1916426.0
MintPressNews,https://twitter.com/MintPressNews,TWITTER,mintpressnews.com,N,22.5,US,en,414962189,211209.0
TheMODownload,https://twitter.com/TheMODownload,TWITTER,missouridownload.com,N,47.0,US,en,992121772450484224,12.0
MDiplomacyWORLD,https://twitter.com/MDiplomacyWORLD,TWITTER,moderndiplomacy.eu,N,12.5,US,en,1467482107,10792.0
MoonofA,https://twitter.com/MoonofA,TWITTER,moonofalabama.org,N,7.5,US,en,23047519,60039.0
MSNBC,https://twitter.com/MSNBC,TWITTER,msnbc.com,N,49.5,US,en,2836421,5086644.0
MediaTakeoutTV,https://twitter.com/MediaTakeoutTV,TWITTER,mtonews.com,N,59.5,US,en,402778053,19376.0
