"","target_user_id","twitter_handle","fib_index","total_reshares","Source","Type","Domain","Rating","Score","Country","Language","followers","total_followers","cumulative_followers","percentage_cumulative_followers"
"1199","17523437","PeggyHall",NA,NA,"https://twitter.com/PeggyHall","TWITTER","thehealthyamerican.org","N",22.5,"US","en",6640,729856343,729120618,99.899
"1200","1589443233444089856","demcommies",NA,NA,"https://twitter.com/demcommies","TWITTER","pacificpundit.com","N",0,"US","en",6587,729856343,729127205,99.9
"1201","14668648","NaturalSolution",NA,NA,"https://twitter.com/naturalsolution","TWITTER","naturalsolutionsmag.com","N",37.5,"US","en",6580,729856343,729133785,99.901
"1202","1509960986882895872","bailu_thaifans",13,417,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",6562,729856343,729140347,99.902
"1203","1443601443777224713","DevotetoPaipai",17,1693,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",6480,729856343,729146827,99.903
"1204","1515021659249553417","Bitcoin1967",16,740,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",6450,729856343,729153277,99.904
"1205","1452246744859922442","SamiAntinniemi",13,733,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",6433,729856343,729159710,99.905
"1206","388772100","bunnyboxz",25,3770,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",6402,729856343,729166112,99.905
"1207","1594431297274974208","Patrici10834779",19,2709,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",6396,729856343,729172508,99.906
"1208","1481509513144717314","awakenindiamov",12,400,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",6217,729856343,729178725,99.907
"1209","1508025502124359684","N0000024",24,3742,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",6175,729856343,729184900,99.908
"1210","484371891","LuvusicaJ",11,415,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",6166,729856343,729191066,99.909
"1211","1593771884528680960","anguishoflibs",39,2781,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",6163,729856343,729197229,99.91
"1212","1021549421610377217","ConsPolToday",NA,NA,"https://twitter.com/conspoltoday","TWITTER","conservativepolitics2day.com","N",50,"US","en",6153,729856343,729203382,99.911
"1213","222209771","ConnersClinic",NA,NA,"https://www.twitter.com/connersclinic","TWITTER","connersclinic.com","N",27.5,"US","en",6113,729856343,729209495,99.911
"1214","1411354580550664193","grahamHmoore",12,467,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",6067,729856343,729215562,99.912
"1215","789574816223203328","SandalsAnew",12,363,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",6036,729856343,729221598,99.913
"1216","1564976739427786753","fengyunshe",145,36364,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",6020,729856343,729227618,99.914
"1217","1056630339995648000","AliciaFixLuke",NA,NA,"https://twitter.com/AliciaFixLuke","TWITTER","bb4sp.com","N",37.5,"US","en",5988,729856343,729233606,99.915
"1218","18040475","thedailybanter",NA,NA,"https://twitter.com/thedailybanter","TWITTER","thedailybanter.com","N",59.5,"US","en",5947,729856343,729239553,99.915
"1219","1567060703017582592","barnrble",13,626,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",5910,729856343,729245463,99.916
"1220","109640315","infolibnews",NA,NA,"https://www.twitter.com/infolibnews","TWITTER","informationliberation.com","N",39.5,"US","en",5903,729856343,729251366,99.917
"1221","1182375584229249024","PoliTribune",NA,NA,"https://twitter.com/PoliTribune/","TWITTER","polinews.org","N",49.5,"US","en",5881,729856343,729257247,99.918
"1222","1413542899103408135","ThaiLeiMiWulei",32,2469,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",5862,729856343,729263109,99.919
"1223","1494382646734082053","LastHawk33",18,1546,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",5802,729856343,729268911,99.92
"1224","1244303888850857985","PBeatap",11,584,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",5777,729856343,729274688,99.92
"1225","1306938412042260485","Scottnotonemor1",11,629,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",5728,729856343,729280416,99.921
"1226","1562461843117215745","Jules5570",14,544,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",5696,729856343,729286112,99.922
"1227","1898509585","AmActionNews",NA,NA,"https://twitter.com/AmActionNews","TWITTER","americanactionnews.com","N",44.5,"US","en",5651,729856343,729291763,99.923
"1228","1545083560788340736","moshuixiang",30,2607,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",5637,729856343,729297400,99.923
"1229","1374732530683887616","ClaireBalan",11,426,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",5549,729856343,729302949,99.924
"1230","1524801494494679041","WiktoriaKrasno2",16,1283,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",5545,729856343,729308494,99.925
"1231","1370259486661767169","IdahoTribune",NA,NA,"https://twitter.com/IdahoTribune","TWITTER","idahotribune.org","N",52,"US","en",5522,729856343,729314016,99.926
"1232","1547060724370792448","NFSC_HAGnews",219,117812,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",5519,729856343,729319535,99.926
"1233","2275471640","DonaldCourter",NA,NA,"https://twitter.com/DonaldCourter","TWITTER","the-revolution-report.com","N",25,"US","en",5463,729856343,729324998,99.927
"1234","1240130573026418688","MeganJia8",18,3755,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",5451,729856343,729330449,99.928
"1235","19257539","TheHayride",NA,NA,"https://twitter.com/TheHayride","TWITTER","thehayride.com","N",22.5,"US","en",5443,729856343,729335892,99.929
"1236","3008789129","Obamasshadow",11,432,"NaN","NaN","NaN","NaN",NA,"NaN","NaN",5425,729856343,729341317,99.929
