"",Unnamed: 0,target_user_id,twitter_handle,fib_index,total_reshares,Source,Type,Domain,Rating,Score,Country,Language,followers
461,461,334715818,BuckSexton,NaN,NaN,https://twitter.com/BuckSexton,TWITTER,independentchronicle.com,N,39.5,US,en,1070952.0
462,462,33522725,AgeofAutism,NaN,NaN,https://twitter.com/AgeofAutism,TWITTER,ageofautism.com,N,25.0,US,en,35925.0
463,463,335960595,usnewson,NaN,NaN,https://twitter.com/usnewson,TWITTER,usnewson.com,N,44.5,US,en,23.0
464,464,3376321847,iluminatibot,40.0,8923.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
465,465,337808606,RobertKennedyJr,167.0,381543.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
466,466,34109146,AmericanThinker,NaN,NaN,https://twitter.com/AmericanThinker,TWITTER,americanthinker.com,N,12.5,US,en,48677.0
468,468,34200559,rianru,NaN,NaN,https://twitter.com/rianru,TWITTER,ria.ru,N,12.5,US,en,2633495.0
469,469,34209920,PravdaRu,NaN,NaN,https://twitter.com/PravdaRu,TWITTER,english.pravda.ru,N,17.5,US,en,92217.0
470,470,34262462,SputnikInt,NaN,NaN,https://twitter.com/SputnikInt,TWITTER,sputniknews.com,N,27.5,US,en,374567.0
471,471,344431345,WTFfacts,NaN,NaN,https://www.twitter.com/wtffacts,TWITTER,factswt.com,N,52.0,US,en,547.0
472,472,3454726154,co_firing_line,NaN,NaN,https://twitter.com/co_firing_line,TWITTER,conservativefiringline.com,N,0.0,US,en,3150.0
473,473,3490454713,thinkamericana,NaN,NaN,https://www.twitter.com/thinkamericana,TWITTER,thinkamericana.com,N,32.0,US,en,10215.0
474,474,3530404094,DavidJHarrisJr,NaN,NaN,https://twitter.com/DavidJHarrisJr,TWITTER,davidharrisjr.com,N,10.0,US,en,579588.0
475,475,357564628,NatEnquirer,NaN,NaN,https://twitter.com/NatEnquirer,TWITTER,nationalenquirer.com,N,20.0,US,en,19523.0
476,476,358545917,Cernovich,31.0,8039.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
477,477,36529101,seanmdav,54.0,13708.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
478,478,3668805255,TimesVision,NaN,NaN,https://twitter.com/TimesVision,TWITTER,visiontimes.com,N,44.5,US,en,47.0
479,479,368196789,thegoodgodabove,NaN,NaN,https://twitter.com/TheGoodGodAbove?lang=en,TWITTER,thegoodlordabove.com,N,29.5,US,en,480136.0
480,480,370729020,charisma_news,NaN,NaN,https://twitter.com/#!/charisma_news,TWITTER,charismanews.com,N,35.0,US,en,21224.0
481,481,37491797,stkirsch,64.0,169782.0,https://twitter.com/stkirsch,TWITTER,kirschsubstack.com,N,37.5,US,en,463248.0
482,482,375721095,Breaking911,155.0,96851.0,https://twitter.com/Breaking911,TWITTER,breaking911.com,N,52.0,US,en,1034623.0
483,483,38472669,drjoshaxe,NaN,NaN,https://twitter.com/drjoshaxe,TWITTER,draxe.com,N,40.0,US,en,42937.0
484,484,38495835,marklevinshow,102.0,44387.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
485,485,38532025,CFACT,NaN,NaN,https://twitter.com/cfact,TWITTER,cfact.org,N,27.5,US,en,15063.0
486,486,38644883,RichSementa,44.0,9191.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
487,487,3905819426,ReadTheHornNews,NaN,NaN,https://twitter.com/readthehornnews,TWITTER,thehornnews.com,N,49.5,US,en,2672.0
488,488,39344374,DonaldJTrumpJr,83.0,55456.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
489,489,397155014,News18Showsha,84.0,29291.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
490,490,39844876,RWMaloneMD,83.0,304618.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
491,491,401659534,eatLocalGrown,NaN,NaN,https://twitter.com/eatLocalGrown,TWITTER,wisemindhealthybody.com,N,0.0,US,en,29813.0
492,492,402778053,MediaTakeoutTV,NaN,NaN,https://twitter.com/MediaTakeoutTV,TWITTER,mtonews.com,N,59.5,US,en,19376.0
493,493,4041824789,RSBNetwork,NaN,NaN,https://twitter.com/rsbnetwork,TWITTER,rsbnetwork.com,N,10.0,US,en,964816.0
494,494,4081106480,realDailyWire,NaN,NaN,https://www.twitter.com/realdailywire,TWITTER,dailywire.com,N,49.5,US,en,2124057.0
495,495,41160276,prageru,44.0,8900.0,https://twitter.com/prageru,TWITTER,prageru.com,N,57.0,US,en,985405.0
496,496,4127951894,newsbreakApp,NaN,NaN,https://twitter.com/newsbreakApp,TWITTER,newsbreak.com,N,12.5,US,en,55866.0
497,497,414962189,MintPressNews,NaN,NaN,https://twitter.com/MintPressNews,TWITTER,mintpressnews.com,N,22.5,US,en,211209.0
498,498,41634520,seanhannity,NaN,NaN,https://twitter.com/SeanHannity,TWITTER,hannity.com,N,39.5,US,en,6505847.0
499,499,4165642155,CRRJA5,42.0,17557.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
500,500,4183248796,realDennisLynch,NaN,NaN,https://twitter.com/realdennislynch,TWITTER,dennismichaellynch.com,N,30.0,US,en,39362.0
501,501,42320186,WorldTribune,NaN,NaN,https://twitter.com/worldtribune?lang=en,TWITTER,worldtribune.com,N,20.0,US,en,1330.0
502,502,4239551,amuse,53.0,51321.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
503,503,423972447,DailyClout,NaN,NaN,https://twitter.com/dailyclout,TWITTER,dailyclout.io,N,17.5,US,en,49545.0
504,504,42732678,BCNbcn,NaN,NaN,https://twitter.com/BCNbcn,TWITTER,breakingchristiannews.com,N,44.5,US,en,7060.0
505,505,42769016,AAPSonline,NaN,NaN,https://twitter.com/aapsonline,TWITTER,aapsonline.org,N,15.0,US,en,44961.0
506,506,428718110,21stCenturyWire,NaN,NaN,https://twitter.com/21stCenturyWire,TWITTER,21stcenturywire.com,N,17.5,US,en,19421.0
507,507,429091729,amer_pregnancy,NaN,NaN,https://twitter.com/amer_pregnancy,TWITTER,americanpregnancy.org,N,50.0,US,en,4613.0
508,508,42958086,NewsRescue,NaN,NaN,https://www.twitter.com/newsrescue,TWITTER,newsrescue.com,N,17.5,US,en,3904.0
509,509,43969372,worldnetdaily,NaN,NaN,https://www.twitter.com/worldnetdaily,TWITTER,wnd.com,N,17.5,US,en,65983.0
510,510,44196397,elonmusk,32.0,563488.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
511,511,442934291,TheAltDaily,NaN,NaN,https://twitter.com/thealtdaily,TWITTER,thealternativedaily.com,N,20.0,US,en,8786.0
512,512,4436681533,joinvaxxter,NaN,NaN,https://twitter.com/joinvaxxter,TWITTER,vaxxter.com,N,35.0,US,en,64.0
513,513,454232867,SGTreport,NaN,NaN,https://twitter.com/sgtreport?lang=en,TWITTER,sgtreport.com,N,0.0,US,en,126935.0
514,514,457984599,BreitbartNews,NaN,NaN,https://twitter.com/BreitbartNews,TWITTER,breitbart.com,N,49.5,US,en,2082615.0
515,515,466864852,BoSnerdley,84.0,60610.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
516,516,4675561130,OnlinePatriots,NaN,NaN,https://twitter.com/OnlinePatriots,TWITTER,patriotjournal.org,N,54.5,US,en,8393.0
517,517,469194846,TwitchyTeam,NaN,NaN,https://www.twitter.com/twitchyteam,TWITTER,twitchy.com,N,52.0,US,en,237219.0
518,518,4717892303,V_of_Europe,NaN,NaN,https://twitter.com/V_of_Europe,TWITTER,voiceofeurope.com,N,15.0,US,en,182337.0
519,519,47253057,RogerJStoneJr,47.0,15422.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
520,520,47293791,w_terrence,44.0,27125.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
521,521,475119104,WakingTimes,NaN,NaN,https://twitter.com/wakingtimes,TWITTER,wakingtimes.com,N,17.5,US,en,9743.0
522,522,4765364386,ChuckCallesto,34.0,124949.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
523,523,4826563611,TheGrayzoneNews,NaN,NaN,https://twitter.com/TheGrayzoneNews,TWITTER,thegrayzone.com,N,17.5,US,en,303546.0
524,524,486289771,GrabienMedia,NaN,NaN,https://twitter.com/grabienmedia,TWITTER,grabien.com,N,44.5,US,en,10422.0
525,525,487118986,XHNews,NaN,NaN,https://twitter.com/XHNews,TWITTER,english.news.cn,N,7.5,US,en,11979057.0
526,526,487600344,Bipartisanism,NaN,NaN,https://twitter.com/bipartisanism,TWITTER,bipartisanreport.com,N,57.5,US,en,135795.0
527,527,488825725,nbreavington,108.0,83957.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
528,528,49616273,globaltimesnews,52.0,13251.0,https://twitter.com/globaltimesnews,TWITTER,globaltimes.cn,N,39.5,US,en,1892826.0
529,529,4970411,AJEnglish,NaN,NaN,https://twitter.com/ajenglish,TWITTER,aljazeera.com,N,52.0,US,en,8797371.0
530,530,498223316,cdalerts,NaN,NaN,https://twitter.com/cdalerts,TWITTER,conservative-daily.com,N,7.5,US,en,1654.0
531,531,50434933,LifeNewsHQ,113.0,82886.0,https://twitter.com/LifeNewsHQ,TWITTER,lifenews.com,N,17.5,US,en,324170.0
532,532,504421694,Strange_Sounds,NaN,NaN,https://twitter.com/strange_sounds,TWITTER,strangesounds.org,N,25.0,US,en,11432.0
533,533,50769180,IngrahamAngle,NaN,NaN,https://twitter.com/IngrahamAngle,TWITTER,lauraingraham.com,N,39.5,US,en,4716094.0
534,534,523248016,jsolomonReports,146.0,75691.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
535,535,52404889,WestonAPrice,NaN,NaN,https://twitter.com/WestonAPrice,TWITTER,westonaprice.org,N,30.0,US,en,38167.0
536,536,532048883,EasternHerald,NaN,NaN,https://twitter.com/easternherald/,TWITTER,easternherald.com,N,5.0,US,en,560.0
537,537,532602984,realMaryFanning,NaN,NaN,https://x.com/realMaryFanning?s=20,TWITTER,theamericanreport.org,N,7.5,US,en,7990.0
538,538,537709549,LauraLoomer,50.0,17238.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
539,539,537959685,justworldtweets,NaN,NaN,https://twitter.com/justworldtweets?s=21,TWITTER,just-international.org,N,30.0,US,en,282.0
